描述,动作,对象,属性和参数,说明,
,,,[<intf name>] optical-mode info,查看某一端口或全部端口的光模块信息,
,,,[<intf name>] {statistic|rate},查看某个端口或全部端口的统计或速率,
,,,<intf name> lldp,查看端口的lldp状态,
,clear,,[<intf name>] count,清除端口计数,
,,,,,
内部端口,set,inner-intf,<type> <slot> <port> rx {enable | disable} tx {enable | disable},,
,show,,[slot <id>],,
,,,,,
链路组,create,link-group,i2c-port-intf <intfA> c2i-port-intf <intfB>,创建链路组，链路组端口在同一槽位上 且 方向相反。默认C2I=0、I2C=1,
,delete,,,删除链路组,
,bind/unbind,,<id> protect-channel <slot> <channel>,,
,set,,<id> intf-dir <intfA> {i2c | c2i} intf-dir <intfB> {i2c | c2i},更改链路组端口方向,
,,,<id> intf-dmac <intfA> <mac> intf-dmac <intfB> <mac>,配置链路组端口mac,
,,,<id> intf-ip <intfA> <ipA> intf-ip <intfB> <ipB>,配置链路组方向端口ip,
,,,<id> redirect-limit <value> action <drop | bypass>,设置链路限速值和动作,
,,,<id> topology <same | opposite>,设置路由连接方式 same 背靠背 opposite 单向双联,
,,,<id> verify <disable | enable>,设置链路组核查。默认开启，按端口配置方向展示。不开启，按实际方向展示。,
,,,<id> protect-access-mode <obypass | ebypass | shutdown | pass>,,
,,,<id> protect-cutback-mode <manual | auto>,,
,,,<id> protect-default-mode <obypass | ebypass | shutdown | pass>,,
,,,<id> protect-run-mode <physical-force | soft-manual | soft-auto | >,,
,show,,<id>,展示链路组信息,
,,,protect-event,,
,,,,,
光保护板,set,protect-policy,{protect-policy | inner-switch-channel-abnormal | scm-offline-abnormal | scm-offline-abnormal | startup-self-testing-stage | optical-link-abnormal | service-board-optical-abnoraml | service-board-abnormal | output-input-traffic-deviate-abnormal} exceed-mode {obypass | ebypass | shutdown | pass},,
,,,{protect-policy | inner-switch-channel-abnormal | scm-offline-abnormal | scm-offline-abnormal | startup-self-testing-stage | optical-link-abnormal | service-board-optical-abnoraml | service-board-abnormal | output-input-traffic-deviate-abnormal} hold-mode {obypass | ebypass | shutdown | pass},,
,,,{protect-policy | inner-switch-channel-abnormal | scm-offline-abnormal | scm-offline-abnormal | startup-self-testing-stage | optical-link-abnormal | service-board-optical-abnoraml | service-board-abnormal | output-input-traffic-deviate-abnormal} hold-time <time>,,
,,,{protect-policy | inner-switch-channel-abnormal | scm-offline-abnormal | scm-offline-abnormal | startup-self-testing-stage | optical-link-abnormal | service-board-optical-abnoraml | service-board-abnormal | output-input-traffic-deviate-abnormal} ignore {enable | disable},,
,,,{protect-policy | inner-switch-channel-abnormal | scm-offline-abnormal | scm-offline-abnormal | startup-self-testing-stage | optical-link-abnormal | service-board-optical-abnoraml | service-board-abnormal | output-input-traffic-deviate-abnormal} threshold <thres>,,
,show,protect-policy,,,
,,protect-plate,,,
,,,,,
可信链路组,create,trusted-group,<id> <name> intf <intf-name>,创建可信链路组,
,delete,,<id> <name>,删除可信链路组,
,add/remove,,<id> intf <intf-name>,增加/删除可信链路组端口,
,set,,<id> loadBalance <sip | dip | sip-dip | sip-dip-sport-dport-pt>,设置可信链路组负载均衡,
,show,,<id>,展示可信链路组,
,,,,,
重定向端口组,create,redirect-group,<id> intf <intf-name>,创建重定向端口组,
,delete,,<id>,删除重定向端口组,
,add/remove,,<id> intf <intf-name>,增删端口,
,,,<id> ip <string>,增删重定向端口组ip,
,,,<id> {recycle-drop | recycle-allow},设置重定向端口组回流重定向/丢弃重定向属性,
,set,,<id> mac <mac-addr>,设置重定向端口组mac,
,,,<id> loadbalance <sip | dip | sip-dip | sip-dip-sport-dport | random>,设置重定向端口组负载均衡 默认：SIP_DIP,
,,,,,
lacp,set,redirect-group,<id> lacp-group active-mode <off | active | passive>,设置聚合端口组模式,
,,,<id> lacp-group timeout-mode <slow | fast>,设置聚合端口组超时模式,
,,,<id> lacp-port <intf-name> active-mode <off | active | passive>,设置聚合端口组模式,
,,,<id> lacp-port <intf-name> priority <priority>,,
,,,,,
,show,,<id>,,
,,,<id> lacp,show 聚合端口信息,
,,,,,
分析服务器组,create,server-group,<id> ip <ip_addr> mask <ip>,,
,,,<id> startIp <ip_addr> endIp <ip_addr> mask <ip> step <cnt>,按范围创建组,
,delete,,<id>,,
,add/remove,,<id> ip <ip_addr> mask <ip>,,
,,,<id> startIp <ip_addr> endIp <ip_addr> mask <ip> step <cnt>,按范围添加IP,
,set,,<id> loadbalance <sip | dip | sip-dip | sip-dip-sport-dport>,,
,,,<id> bfd-mode <bfd-nor | bfd-ext>,设置单包单业务/单包多业务。默认单包多业务,
,show,,<id>,,
,,,,,
虚接口,create,loopback,"<id> ip <ip_addr>,<ip_mask>",,
,delete,,<id>,,
,add/remove,,"<id> ip <ip_addr>,<ip_mask>",,
,,,,,
ACL,create/delete,acl-group,<id>,创建/删除 ACL组,
,add/remove,,<id> acl-rule <id> {v4mask | v6mask} <sip> <dip> <prot> <sp> <dp>,往ACL组添加/删除规则,
,bind/unbind,,intf <intf-name> direction <inbound | outbound>,组绑定端口,
,,,link-group <id> direction <inbound | outbound>,,
,,,redirect-group <id> direction <inbound | outbound>,,
,,,,,
,set,,<id> name <name>,设置acl组名称,
,,,<id> action <drop | pass | ratelimt>,设置ACL规则动作,
,,,<id> limit <bandwith>,,
,,,,,
,show,,acl-group,查所有组+acl规则计数,
,,,<id>,查 组+规则+生效位置+计数,
,,,<id> acl-rule,查acl组的全部acl规则,
,,,<id> by {<intf> | <link-group> | <redi-group>},查端口/组的acl规则,
,show,acl-name,<name>,根据acl组名称show,
,,,,,
路由,add/remove,ip-route,<ip> egress <id>,配置目的网络和(本路由)出接口组,
,,,<ip> intf <name>,配置目的网络和(本路由)出接口,
,,,<ip> nexthop-ip <ip>,配置目的网络和下一跳(下一个路由IP)地址,
,show,route-table,,show路由表,
,,mac-table,,展示mac学习，及学习路径,
,,,,,
下一跳,add/remove,nexthop-ip,<nexthop> egress <id>,配置下一跳的出接口组,
,,,<nexthop> intf <name>,配置下一跳的出接口,
,,,<nexthop> mac <mac> egress <id>,配置下一跳的出接口组和mac,
,,,<nexthop> mac <mac> intf <name>,配置下一跳的出接口和mac,
,show,arp-table,,show下一跳,
,,,,,
rcp,add,rcp,user <usrname> <passward> <ip> <port>,,
,remove,,user <usrname> <ip> <port>,,
,set,,session <num> <status>,,
,show,,<index>,,
,,,session,,
,,,user,,
,,,,,
用户,active,user,<username>,,
,inactive,user,<username> <usertype>,,
,,,,,
ntp,add,ntp,association <index> <type> <password>,,
,,,host <ip> <port>,,
,remove,,association <index>,,
,,,host <ip>,,
,clear,,association <ip> <index>,,
,set,,association <ip> <index>,,
,,,status <status>,,
,show,,,,
,,,,,
snmp,add,snmp,agent community <name> <viewscope> <access>,,
,,,agent viewscope <viewname>,,
,,,trap host <ip> <community-name> <port> [version <version>],,
,remove,,agent community <name>,,
,,,agent viewscope <viewname>,,
,,,trap host <ip> <port>,,
,set,,agent port <port>,,
,,,agent version <version>,,
,,,trap event {linkAbnormal | ifOverflow | innerOverflow | bfdOscillation | cpuRationHigh | memRatioHigh | fanAbnormal | powerAbnormal | temperatureHigh | lossOverflow | boardStatusChange | popmStatusChange | aopmStatusChange | ifPhysicalStatusChange} severity {serious | important | minor | slight},,
,,,trap event {linkAbnormal | ifOverflow | innerOverflow | bfdOscillation | cpuRationHigh | memRatioHigh | fanAbnormal | powerAbnormal | temperatureHigh | lossOverflow | boardStatusChange | popmStatusChange | aopmStatusChange | ifPhysicalStatusChange} threshold <thres>,,
,,,trap switch {enable | disable},,
,show,,agent,,
,,,trap event,,
,,,trap host,,
,,,,,
规则,add/remove,rule,service <id> 10tuple <sip> <dip> <prot> <sp> <dp> <innersip> <innerdip> <innerprot> <innersp> <innerdp> {enable | disable} {dynamic | static},,
,,,service <id> 6tuple <sip> <dip> <prot> <sp> <dp> <vpn> {enable | disable} {dynamic | static},,
,,,service <id> combA dpi <key> <keymask> <groupno> offset <offset> {enable | disable} {dynamic | static},,
,,,service <id> combA v4flex <groupno> <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> combA v4mask <groupno> <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> combA v6flex <groupno> <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> combA v6mask <groupno> <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> combB dpi <key> <keymask> <groupno> offset <offset> {enable | disable} {dynamic | static},,
,,,service <id> combB v4flex <groupno> <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> combB v4mask <groupno> <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> combB v6flex <groupno> <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> combB v6mask <groupno> <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> dpi <key> <keymask> offset <offset> {enable | disable} {dynamic | static},,
,,,service <id> tcpflag <tcpflag> <l2Len> {enable | disable} {dynamic | static},,
,,,service <id> v4flex <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> v4mask <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> v6ext <ext> {enable | disable} {dynamic | static},,
,,,service <id> v6flex <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> v6mask <sip> <dip> <prot> <sp> <dp> {enable | disable} {dynamic | static},,
,,,service <id> v6prefix dip <dip> {enable | disable} {dynamic | static},,
,,,service <id> v6prefix sip <sip> {enable | disable} {dynamic | static},,
,,,service <id> v6suffix dip <dip> {enable | disable} {dynamic | static},,
,,,service <id> v6suffix sip <sip> {enable | disable} {dynamic | static},,
,remove,,all,,
,,,by flex-template <template>,,
,,,by rule-id <id>,,
,,,by rule-type {v4flex | v6flex | v4mask | v6mask | 6tuple | dpi | 10tuple | tcpflag | v6ext | ipv4 | ipv6=14},,
,,,by service <id>,,
,set,,<id> 10tuple <sip> <dip> <prot> <sp> <dp> <innersip> <innerdip> <innerprot> <innersp> <innerdp> {enable | disable},,
,,,<id> 6tuple <sip> <dip> <prot> <sp> <dp> <vpn> {enable | disable},,
,,,<id> dpi <key> <keymask> offset <offset> {enable | disable},,
,,,<id> tcpflag <tcpflag> <l2Len> {enable | disable},,
,,,<id> v4flex <sip> <dip> <prot> <sp> <dp> {enable | disable},,
,,,<id> v4mask <sip> <dip> <prot> <sp> <dp> {enable | disable},,
,,,<id> v6ext <ext> {enable | disable},,
,,,<id> v6flex <sip> <dip> <prot> <sp> <dp> {enable | disable},,
,,,<id> v6mask <sip> <dip> <prot> <sp> <dp> {enable | disable},,
,,,<id> rule-id <id>,,
,show,,10tuple <sip> <dip> <prot> <sp> <dp> <innersip> <innerdip> <innerprot> <innersp> <innerdp>,,
,,,6tuple <sip> <dip> <prot> <sp> <dp> <vpn>,,
,,,dpi <key> <keymask> offset <offset>,,
,,,tcpflag <tcpflag> <l2Len>,,
,,,v4flex <sip> <dip> <prot> <sp> <dp>,,
,,,v4mask <sip> <dip> <prot> <sp> <dp>,,
,,,v6ext <ext>,,
,,,v6flex <sip> <dip> <prot> <sp> <dp>,,
,,,v6mask <sip> <dip> <prot> <sp> <dp>,,
,,,,,
组合规则,create,combination,<id> comb-a <groupId> com-b <groupId> service <id>,,
,delete,,<id>,,
,show,,<id>,,
,,,<id> by nonzero,,
,,,by rule-type {v4flex | v6flex | v4mask | v6mask},,
,,,by service <id> [nonzero],,
,,,comb-a <groupno>,,
,,,comb-a <groupno> and com-b <groupno>,,
,,,comb-a <groupno> by service <serviceno>,,
,,,comb-b <groupno>,,
,,,comb-b <groupno> by service <serno>,,
,clear,,count by combA <groupno>,,
,,,count by combA <groupno> and comb <groupno>,,
,,,count by combB <groupno>,,
,,,count by combid <id>,,
,,,count by rule-type {v4flex | v6flex | v4mask | v6mask},,
,,,count by service <id>,,
,,,,,
业务配置,create,,<id> action drop,创建丢弃动作,
,,,<id> action pass [<trusted-name> <trusted-name>],创建透传业务，可信链路组名可以缺省不配置，可信链路组方向相反,
,,,<id> action {discard | redirect} redirect-group <id> [server-group <id> loopback <id>],创建丢弃/重定向业务,
,delete,,<id>,删除业务,
,add/remove,,<id> action {discard | redirect} redirect-group <id>,增加/删除 重定向输出组,
,bind/unbind,,<id> server-group <id>,绑定/解绑 分析服务器组,
,bind/unbind,,<id> loopback <id>,绑定/解绑 虚接口,
,更改动作,,,,
,*->pass,,删除 所有的 组信息 和 bfd 保活,,
,set,,<id> action-pass [<trusted-name> <trusted-name>],修改动作为 pass,
,,,,,
,pass->discard/redirect,,删除 可信组 信息,,
,set,,<id> action {discard | redirect},修改动作为 discard/redirect,
,,,<id> action {discard | redirect} redirect-group <id> server-group <id> loopback <id>,,
,,,,,
,discard <-> redirect,,组信息 不动 只修改 动作,,
,set,,<id> action {discard | redirect},修改动作为 discard/redirect,
,,,,,
,,,基本属性,,
,,,<id> vlan <num>,设置业务vlan，缺省为1,
,,,<id> qos {enable | disable},设置qos(网络服务质量)使能,
,,,<id> ip {ipv4 | ipv6} dscp <num>,设置ip的dscp值，范围 0~63，qos使能时有效，下发,
,,,<id> flow-limit-mode {none | bitmap | rate} [limit-value <value>],设置业务限速，mode=0 取消限速、mode=1 bitmap、mode=2 rate,
,,,优先级,,
,bind/unbind,,<id> priority,绑定/解绑 业务优先级,
,set,,<id> priority <num>,设置业务优先级,
,,,bfd,,
,,,<id> keepAlive mode {bfd | arp | icmp} interval <time> count <num>,设置保活方式，时间间隔单位20ms,
,,,<id> keepAlive bfd-sport <sport> [<num>],设置bfd的端口 范围：49152~65535,
,,,"<id> server-group <id> ip {<ip-addr>,<ip-addr>,...} mode {auto | manual_up | manual_down}",设置分析服务器保活模式，默认up,
,,,,,
,,,回注误用,,
,,,<id> server-group <id> ip <ip-addr> action <off | drop | clean | modify | injection>,设置回注误用的动作,
,,,,,
,,,可信组开关,,
,,,<id> trusted-switch {disable | enable},设置业务的可信组使能,
,,,回应式阻断,,
,set,,<id> deny-reply {disable | enable},设置回应式阻断,
,,,<id> allow-recycle {enable|disable},多业务匹配中的流量，允许低优先级业务二次回流的使能开关,
,,,<id> need-recycle {enable|disable},二次回流的流量，匹配规则的使能开关,
,,,,,
,,,隧道匹配,,
,,,<id> tunnel-match-type {ipInIp | ah | gre | teredo | gtp} {inner | either | both | ten-tuple | outer},设置隧道类型和匹配模式,
,,,规则容量,,
,,,<id> rule-status {disable | enable},设置规则接收，默认enable,
,,,"<id> rule-type {v4flex | v4mask | v6flex | v6mask | six-tuple | dpi | comb | tcpFlag | ten-tuple}
     min <value> max <value>",设置规则类型容量,
,,,<id> rule-aging-time <time>,设置规则老化时间，单位s，范围：1~31536000，默认1800,
,,,规则模板,,
,,,<id> flex-template <P | DP ..| DIP_PREFIX> type <v4 | v6 | both> <disable | enable>,设置规则模板是否生效,
,,,,,
,,,<id> auto-save {disable | enable},设置业务为自动存盘,
,,,<id> auto-save-cap <num>,设置业务存盘容量 0~1000000,
,,,<id> save-cycle <time>,设置业务存盘周期,
,,,<id> svr-type {static | dynamic},设置业务静态/动态,
,,,,,
,show,,<id>,,
,,,<id> bfd-status [<down | up>],,
,,,<id> bs-action,,
,,,<id> capacity,,
,,,<id> flex-template,,
,,,<id> tunnel-type,,
,,,,,
重启,reboot,all,,,
,,fab,<num>,,
,,lc,<num>,,
,,scm,{master | spare},,
,,,,,
主备切换,set,scm-switch,,,
,,,,,
全局配置,set,system,入库,,
,,,save {disable | enable},保存配置开关,
,,,tunnel type {ipInIp | ah | gre | teredo | gtp} {inner | either | both | ten-tuple | outer},设置全局隧道匹配模式 默认：outer,
,,,tunnel mode {global | service},设置隧道匹配模式(按全局生效/按业务生效),
,,,,,
,,,rcp {disable | enable},rcp功能使能开关,
,,,,,
,,,icmp {disable | enable},icmp功能使能开关,
,,,arp {disable | enable},arp功能使能开关,
,,,arp aging-time <value>,配置arp老化时间,
,,,arp capacity <val>,配置arp容量,
,,,,,
,,,mac learning {disable | enable},mac学习使能开关,
,,,link-group mac-learn {disable | enable},链路组mac学习开关,
,,,mac aging-time <value>,配置mac老化时间,
,,,,,
,,,v4-reject {disable | enable},全局设置ipv4 报文允许或拒绝。规范10.9.3,
,,,,,
,,,mng-ip  <ip> <mask> <gateway>,管理员IP,
,,,,,
,,,生效,,
,,,dpi start {laver2 | laver3 | laver4 | pavload},配置dpi(特征码)起始位置，默认二层头,
,,,dpi offset <num>,配置dpi(特征码)偏移量，0~127,默认值
,,,,,
,,,规则容量,,
,,,rule-cap rule-type <v4flex | v4mask | v6flex | v6mask | sixTuple | dpi | comb | tcpFlag | tenTuple> <max>,设置规则容量,
,,,rule-cap type <independent | shared>,设置生效类型,
,,,,,
,,,可信链路开关,,
,,,trusted-group {disable | enable},设置可信链路开关，默认关闭，暂未上电恢复,
,,,,,
,,,设置光保护板端口up/down,,
,,,protect-port-mode {disable | enable},,
,,,,,
,,,resp-block aging-time <time> {strict| inattentive},"回应式阻断缓存时间,单位ms，缺省是松散模式。",严格模式：尽可能精确老化。松散模式：尽可能容纳流的数量。
,,,resp-block single-ip-limit <count>,回应式阻断单ip回应次数上限，0~500000。默认500000,
,,,resp-block total-limit <count>,"缓存期间系统整机回应次数上限,0~10000000.默认10000000",
,,,resp-block ttl <start> <end>,设置回应式阻断的ttl取值范围,
,,,resp-block syslog <status> time <time>,syslog是否通告和通告时间 - 1~86400,
,,,resp-block blacklist-sync {<off | on>},回应式阻断黑名单同步,
,,,,,
,,,ip-fragment aging-time <s>,分配报文老化时间，即缓存时。1~128。默认1,
,,,ip-fragment cache {disable | enable},只入库,
,,,ip-fragment single-piece <num>,单连接最大缓存片数。1~10,
,,,ip-fragment size-limit <num>,分片报文的大小上限。1500~9000,
,,,ip-fragment status {disable | enable},只入库,
,,,ip-fragment v4-cap <num>,分片v4报文的总缓存片数。1~10000,
,,,ip-fragment v6-cap <num>,分片v6报文的总缓存片数。1~10000,
,,,unexpect-frag {permit | drop},非预期分片的处理动作(配置分片帧超长透传),
,,,,,
,,,tx-interval <val>,配置lldp发送周期。范围1~3600s,
,,,,,
,,,recycle-misuse-detect {disable | enable},配置回注误用开关,
,,,,,
,set,,ptotect-hearbeat <time>,配置心跳时间,
,,,,,
,show,,active-rules,生效的规则,
,,,arp,arp信息,
,,,capacity,,
,,,cmm,系统规则容量,
,,,dpi,,
,,,eventlog,,
,,,fab,,
,,,fan,,
,,,flex-temp,系统规则模板,
,,,"flex-template [P | DP | DP_P | SP | SP_P | SP_DP | SP_DP_P | DIP | DIP_P | DIP_DP | DIP_DP_P | DIP_SP | DIP_SP_P | DIP_SP_DP | DIP_SP_DP_P | SIP | SIP_P | SIP_DP | SIP_DP_P | SIP_SP | SIP_SP_P | SIP_SP_DP | 
SIP_SP_DP_P | SIP_DIP | SIP_DIP_P | SIP_DIP_DP | SIP_DIP_DP_P | SIP_DIP_SP | SIP_DIP_SP_P | SIP_DIP_SP_DP | SIP_DIP_SP_DP_P | SIP_SUFFIX | DIP_SUFFIX | SIP_PREFIX | DIP_PREFIX] capacity-mode [performance-first | capacity-first]",设置过单模板,
,,,"flex-template [P | DP | DP_P | SP | SP_P | SP_DP | SP_DP_P | DIP | DIP_P | DIP_DP | DIP_DP_P | DIP_SP | DIP_SP_P | DIP_SP_DP | DIP_SP_DP_P | SIP | SIP_P | SIP_DP | SIP_DP_P | SIP_SP | SIP_SP_P | SIP_SP_DP | 
SIP_SP_DP_P | SIP_DIP | SIP_DIP_P | SIP_DIP_DP | SIP_DIP_DP_P | SIP_DIP_SP | SIP_DIP_SP_P | SIP_DIP_SP_DP | SIP_DIP_SP_DP_P | SIP_SUFFIX | DIP_SUFFIX | SIP_PREFIX | DIP_PREFIX] priority <id>",,
,,,"flex-template [P | DP | DP_P | SP | SP_P | SP_DP | SP_DP_P | DIP | DIP_P | DIP_DP | DIP_DP_P | DIP_SP | DIP_SP_P | DIP_SP_DP | DIP_SP_DP_P | SIP | SIP_P | SIP_DP | SIP_DP_P | SIP_SP | SIP_SP_P | SIP_SP_DP | 
SIP_SP_DP_P | SIP_DIP | SIP_DIP_P | SIP_DIP_DP | SIP_DIP_DP_P | SIP_DIP_SP | SIP_DIP_SP_P | SIP_DIP_SP_DP | SIP_DIP_SP_DP_P | SIP_SUFFIX | DIP_SUFFIX | SIP_PREFIX | DIP_PREFIX] table-room <num>",,
,,,,,
,,,ip-fragment,分片报文,
,,,ip-fragment action <action>,分片报文动作计数,
,,,,,
,,,lc,,
,,,mac,mac学习,
,,,operation-log,show 历史命令,
,,,psu,,
,,,,,
,,,resp-block,回应式阻断,
,,,resp-block blacklist,回应式阻断黑名单,
,,,resp-block cache-table-entry-number,回应式阻断整机缓存表容量,
,,,,,
,,,scm,,
,,,time,,
,,,tunnel,隧道类型,
,,,user,,
,,,version,,
,,,,,
arp/icmp协议,,,,,
arp,add,arp,ip <ip> mac <mac> [intf <intf-name>] [svlan <vlan-id>] [cvlan <vlan-id>],添加静态arp，出端口可选，vlan可选，默认0。,
,remove,,ip <ip>,删除静态arp,
,set,,redirect-group-mac <mac>,设置重定向端口用于arp的默认mac,
,,,link-group {disable | enable},配置链路组 arp&icmp 开关,
,,,,,
,set,system arp,status {disable | enable},"arp功能使能开关,默认使能",
,,,aging-time <num>,设置arp表项老化时间，单位s，范围10~86400，默认1200s。,
,,,capacity <num>,设置arp表项容量，默认10K。,
,,,,,
,show,,system arp,查看arp配置信息,
,,,,,
icmp,set,system,icmp {disable | enable},icmp功能使能开关，默认使能,
,,,,,
,ping,,ip <ip> [intf <intf-name>],,
,,,route ip <ip> [intf <intf-name>],,
,,,,,
syslog,add/remove,syslog,host <ip> <port>,,
,set,,check-size <size>,,
,,,language {rfc | normal},,
,,,level <level>,,
,,,status {enable | disable},,
,,,time-format {rfc | normal},,
,show,,,,
,,,,,
vpn,add,vpn-map-table,mpls <mpls> <mask> vpn <vpnid> {non-preselected | preselected},,
,,,vlan <valnid> <mask> vpn <vpnid> {non-preselected | preselected},,
,remove,,mpls <mpls> <mask> vpn <vpnid>,,
,,,vlan <valnid> <mask> vpn <vpnid>,,
,show,,<vpnid>,,
,set,vpn,<vpnid> default-action {pass | drop},,
,,,<vpnid> default-id <id>,,
,,,<vpnid> description <desc>,,
,,,<vpnid> process {enable | disable},,
,clear,,<vpnid> count,,
,,,,,
lldp,set,lldp,linkDir {disable | enable},,
,,,linkId {disable | enable},,
,,,manage-addr {disable | enable},,
,,,rxStatus {disable | enable} txStatus {disable | enable},,
,,,ttl <num>,,
,,,tx-interval <val>,,
,show,,,,
,,,by intf <name>,,
,,,,,
icmp,ping,,intf <intf_name> ip <ip>,,
,,,ip <ip>,,
,add,arp,[intf <intf-name>] ip <ip>,,
,remove,,[intf <intf-name>] ip <ip>,,
,set,icmp-arp-log,<CLEAR | DEBUG | INFO | ERROR>,,
,,,,,
报文捕获,,,,,
,"packet-capture capture-intf <intfname> reflect-intf <intfname> direction <in | out | both> 5-tuple <sip,mask> <dip,mask> <prot,mask> <sp,mask> <dp,mask> {capture-num <num> | capture-time <time-s> }                                                                                                                              ",,,,
,unknown-packet-capture capture-intf <intfname> reflect-intf<intfname> direction <in | out | both>,,,,
,,,,,
内部使用,,,,,
,set,dp-flow,mode <flow | port_flow>,设置转往NP时按照端口+流 还是 仅按照流 默认：flow,
,,,unit <unit>,当mode为flow时有意义  设置几个激活处理 默认：4,
,,,hash <SIP_DIP_P_SP_DP | SIP_DIP>,发往np负载均衡方式 默认：SIP-DIP,
,,,cross-hash <SIP_DIP_P_SP_DP | SIP_DIP>,跨板负载均衡方式 默认：SIP-DIP,
,,,abnormal-detect {disable | enable},异常检测开关,
,,,,,
诊断,show,statistics-diag,,,
丢弃计数,show,statistics-drop,,,
